,Int'l Plan,VMail Plan,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Charge,Intl Mins,CustServ Calls,Churn?
10,0,0,0,129.1,137,21.95,228.5,19.42,12.7,4,True.
15,0,0,0,332.9,67,56.59,317.8,27.01,5.4,4,True.
21,0,0,0,62.4,89,10.61,169.9,14.44,5.7,5,True.
33,0,0,0,249.6,118,42.43,252.4,21.45,11.8,1,True.
41,1,1,41,173.1,85,29.43,203.9,17.33,14.6,0,True.
48,0,0,0,159.1,114,27.05,231.3,19.66,8.8,5,True.
54,0,0,0,151.0,83,25.67,219.7,18.67,9.7,5,True.
57,0,1,30,198.4,129,33.73,75.3,6.4,5.8,3,True.
69,0,0,0,178.9,101,30.41,169.1,14.37,13.8,4,True.
76,0,0,0,300.3,109,51.05,181.0,15.39,11.7,0,True.
77,0,0,0,61.6,117,10.47,77.1,6.55,8.2,4,True.
84,0,0,0,210.6,96,35.8,249.2,21.18,12.4,2,True.
86,0,0,0,157.9,105,26.84,155.0,13.18,8.0,4,True.
89,0,0,0,237.9,125,40.44,247.6,21.05,13.9,1,True.
91,0,0,0,203.4,100,34.58,190.9,16.23,8.9,0,True.
98,0,0,0,212.1,131,36.06,209.4,17.8,5.3,1,True.
99,0,0,0,251.8,72,42.81,205.7,17.48,9.8,2,True.
115,1,1,42,196.8,89,33.46,254.9,21.67,20.0,0,True.
117,0,0,0,282.5,114,48.03,219.9,18.69,9.4,1,True.
126,0,0,0,70.7,108,12.02,157.5,13.39,9.1,4,True.
127,0,1,27,187.5,124,31.88,146.6,12.46,6.4,4,True.
144,1,0,0,167.1,86,28.41,177.5,15.09,14.1,2,True.
156,0,0,0,337.4,120,57.36,227.4,19.33,15.8,0,True.
181,0,0,0,58.2,94,9.89,138.7,11.79,11.9,5,True.
197,0,0,0,326.5,67,55.51,176.3,14.99,10.7,2,True.
198,1,1,26,292.9,101,49.79,199.7,16.97,13.8,4,True.
214,1,0,0,226.7,98,38.54,228.1,19.39,17.6,2,True.
218,0,0,0,250.2,121,42.53,267.1,22.7,13.0,1,True.
230,1,0,0,312.0,109,53.04,129.4,11.0,10.5,0,True.
235,0,0,0,134.4,106,22.85,211.3,17.96,10.2,5,True.
241,1,0,0,135.1,95,22.97,134.1,11.4,12.3,2,True.
244,0,0,0,198.5,99,33.75,267.8,22.76,9.4,0,True.
250,0,1,29,157.4,99,26.76,117.9,10.02,13.9,4,True.
258,1,0,0,62.6,111,10.64,180.6,15.35,10.4,1,True.
277,0,1,48,189.8,96,32.27,123.4,10.49,6.5,2,True.
289,0,0,0,303.9,95,51.66,260.9,22.18,5.3,1,True.
293,0,1,37,172.7,93,29.36,120.1,10.21,10.3,5,True.
301,0,0,0,266.6,106,45.32,264.8,22.51,5.9,1,True.
302,0,0,0,170.4,108,28.97,350.5,29.79,11.2,0,True.
306,0,0,0,272.1,111,46.26,268.5,22.82,8.5,1,True.
307,0,0,0,296.4,99,50.39,214.8,18.26,11.4,4,True.
310,0,0,0,248.7,109,42.28,220.0,18.7,13.2,1,True.
319,1,1,32,223.5,81,38.0,188.8,16.05,9.4,2,True.
331,0,0,0,272.6,83,46.34,248.7,21.14,9.5,1,True.
332,0,0,0,128.3,121,21.81,197.1,16.75,12.2,7,True.
340,0,0,0,213.0,63,36.21,176.6,15.01,9.1,1,True.
349,0,0,0,107.0,63,18.19,105.7,8.98,12.8,4,True.
354,1,0,0,236.2,77,40.15,218.6,18.58,13.2,2,True.
360,1,0,0,257.1,53,43.71,312.2,26.54,8.8,1,True.
365,0,0,0,350.8,75,59.64,216.5,18.4,10.1,1,True.
372,1,0,0,218.0,57,37.06,114.4,9.72,12.4,0,True.
378,1,0,0,165.5,84,28.14,286.2,24.33,11.5,1,True.
394,0,0,0,229.6,78,39.03,205.7,17.48,10.8,0,True.
397,0,0,0,234.4,103,39.85,279.3,23.74,2.0,1,True.
399,0,0,0,167.3,91,28.44,230.0,19.55,10.6,1,True.
407,0,0,0,157.1,134,26.71,184.9,15.72,8.5,4,True.
415,0,0,0,239.7,47,40.75,282.9,24.05,8.7,2,True.
416,1,0,0,171.5,99,29.16,160.0,13.6,5.0,1,True.
430,0,0,0,250.3,100,42.55,260.6,22.15,13.3,2,True.
437,0,0,0,278.0,76,47.26,176.7,15.02,8.3,0,True.
454,0,0,0,256.4,125,43.59,273.9,23.28,11.1,1,True.
455,0,0,0,264.8,124,45.02,245.4,20.86,14.8,1,True.
465,1,0,0,178.2,113,30.29,167.8,14.26,13.6,3,True.
466,0,1,36,226.2,103,38.45,181.6,15.44,10.5,3,True.
473,0,1,33,96.6,59,16.42,315.4,26.81,6.2,4,True.
491,1,0,0,191.9,91,32.62,256.1,21.77,14.3,1,True.
492,1,0,0,130.7,113,22.22,260.6,22.15,9.4,2,True.
498,1,0,0,211.3,61,35.92,105.6,8.98,9.7,4,True.
502,1,0,0,216.9,61,36.87,207.4,17.63,17.5,1,True.
507,0,0,0,154.0,122,26.18,329.8,28.03,5.6,3,True.
509,0,1,26,170.8,114,29.04,199.5,16.96,9.6,5,True.
514,1,1,29,265.9,113,45.2,215.8,18.34,14.0,0,True.
521,0,0,0,73.3,86,12.46,161.4,13.72,8.2,4,True.
542,1,1,20,237.5,120,40.38,253.4,21.54,14.2,9,True.
546,1,0,0,279.8,90,47.57,248.7,21.14,8.4,2,True.
547,1,1,41,136.8,91,23.26,200.8,17.07,10.3,5,True.
550,0,0,0,172.8,58,29.38,183.1,15.56,7.9,4,True.
552,0,0,0,288.1,112,48.98,258.0,21.93,10.2,3,True.
558,0,0,0,174.1,96,29.6,251.1,21.34,8.3,2,True.
569,1,1,32,221.1,137,37.59,264.9,22.52,15.4,2,True.
574,0,0,0,228.1,121,38.78,276.5,23.5,9.9,2,True.
580,0,0,0,209.4,151,35.6,347.3,29.52,7.4,1,True.
584,0,0,0,234.2,128,39.81,293.1,24.91,9.8,0,True.
588,0,0,0,89.7,118,15.25,260.1,22.11,13.5,5,True.
601,1,0,0,159.7,86,27.15,197.5,16.79,13.9,0,True.
605,0,0,0,335.5,77,57.04,212.5,18.06,12.7,2,True.
613,1,1,29,220.7,82,37.52,217.7,18.5,13.2,1,True.
619,1,0,0,293.3,79,49.86,188.5,16.02,14.5,0,True.
626,1,1,37,220.2,109,37.43,185.3,15.75,4.1,0,True.
629,0,0,0,299.5,125,50.92,226.7,19.27,13.7,0,True.
649,0,0,0,261.7,97,44.49,210.6,17.9,6.0,3,True.
655,0,0,0,157.6,85,26.79,194.1,16.5,9.4,5,True.
660,0,0,0,264.7,69,45.0,305.0,25.93,9.5,1,True.
679,1,0,0,222.4,78,37.81,327.0,27.8,8.7,1,True.
715,1,0,0,249.9,95,42.48,242.5,20.61,15.3,1,True.
721,0,1,36,87.2,92,14.82,169.3,14.39,10.9,6,True.
730,0,0,0,271.2,105,46.1,202.6,17.22,11.5,3,True.
736,0,0,0,162.1,86,27.56,155.0,13.18,11.0,5,True.
737,1,0,0,145.0,89,24.65,175.8,14.94,16.7,2,True.
